historical_demand,inventory_level,raw_material_cost,machine_utilization,supplier_rating,lead_time,temperature,pressure,labor_hours,production_cost,procurement_source,safety_risk
775,1248,892.97,59.08,4.53,22,67.41,87.31,25.4,9672.47,InHouse,Low
603,467,223.43,82.25,4.46,2,88.4,166.05,39.93,4755.13,External,Low
408,705,437.91,64.39,1.05,17,51.29,146.15,49.63,7950.53,InHouse,High
994,280,296.67,98.61,3.75,13,83.35,72.09,45.28,7625.64,External,Medium
414,4401,397.74,59.03,2.22,8,31.85,244.02,31.07,9860.76,External,Medium
897,4090,323.09,51.64,2.25,22,77.81,80.25,32.66,3600.8,InHouse,Medium
141,4608,768.04,52.21,1.59,8,72.14,228.53,23.28,4674.45,InHouse,Medium
959,2156,158.11,89.94,3.68,14,112.0,214.87,34.86,5392.22,External,Medium
933,4748,698.63,54.28,3.84,24,24.48,213.66,11.79,5171.02,InHouse,High
966,2127,175.15,95.13,3.15,24,42.64,193.13,39.51,3872.89,InHouse,Medium
469,243,386.97,75.11,1.07,1,81.31,253.66,14.33,7083.74,External,Medium
773,494,902.75,83.16,2.9,24,85.28,79.61,39.78,4735.56,External,Low
979,1918,480.02,92.09,4.99,17,27.17,227.82,34.95,3318.17,External,Low
516,4207,598.37,53.35,4.16,8,55.64,110.87,35.61,9274.33,External,Medium
242,4333,766.36,63.97,1.29,16,117.33,53.12,41.06,1092.51,External,High
965,1967,981.41,62.69,3.75,4,74.49,297.51,46.6,1576.84,InHouse,High
178,2839,328.24,91.35,1.75,21,119.84,112.48,47.66,4970.74,External,Medium
162,3172,778.97,61.03,2.25,1,104.27,291.81,15.52,7954.76,External,Low
411,4776,267.21,76.73,2.29,14,103.08,23.5,48.36,4243.19,InHouse,High
990,2266,289.49,69.16,2.17,1,100.68,124.18,41.93,6918.28,External,Medium
173,4270,111.76,90.83,2.83,1,30.67,120.18,40.25,8789.04,InHouse,High
376,4399,460.5,58.82,5.0,22,111.55,67.02,7.53,1336.47,InHouse,Medium
99,1398,404.15,86.18,3.98,22,104.95,119.62,5.08,3867.57,InHouse,Low
395,2527,784.96,85.36,2.32,7,82.87,20.3,38.23,6421.08,External,Medium
358,800,355.53,83.92,4.68,17,39.84,153.93,21.83,5578.16,External,High
72,3665,623.06,77.52,3.32,21,21.84,141.91,10.82,5231.5,External,Medium
922,233,277.29,57.45,1.85,10,105.2,126.94,38.84,5454.51,External,High
684,1644,194.2,76.49,3.6,14,81.26,130.9,43.5,8264.83,InHouse,High
441,2193,281.31,55.79,1.92,11,117.23,96.5,5.03,6691.27,External,Medium
697,885,694.84,77.31,4.28,10,71.62,268.27,46.3,2037.01,InHouse,Low
370,3090,106.92,72.61,4.61,25,25.28,268.1,9.43,6756.14,External,Medium
394,2514,988.67,82.87,2.1,28,83.77,107.34,7.0,6906.84,External,Medium
371,4539,557.17,56.33,4.12,8,113.99,151.59,18.9,4978.08,InHouse,High
886,2495,297.16,63.63,4.02,25,57.5,158.12,29.81,1649.05,InHouse,Medium
247,976,993.98,67.07,1.77,27,74.69,175.84,44.0,6601.17,External,High
872,3031,480.17,65.41,4.92,16,74.5,86.68,19.03,6538.21,InHouse,Medium
286,3979,240.6,52.96,1.09,5,58.85,117.99,5.78,7202.95,External,Low
325,3661,847.59,72.68,2.3,5,36.65,226.78,49.53,2553.98,External,Low
643,3691,629.89,50.35,4.79,6,92.42,232.78,49.48,2835.93,InHouse,High
547,3876,188.58,97.53,1.84,2,108.64,197.28,46.58,6446.59,InHouse,Medium
418,823,961.06,67.43,2.07,29,75.27,282.99,16.6,5984.1,InHouse,Medium
847,4690,516.64,61.7,4.33,1,98.6,234.18,32.47,1105.25,InHouse,Low
562,3412,914.49,52.62,2.38,28,39.28,85.63,14.68,8564.96,InHouse,Medium
269,2680,512.43,98.76,4.19,13,86.75,134.54,10.71,5935.44,InHouse,High
301,1179,154.53,86.13,1.03,8,78.17,53.26,12.37,4747.06,InHouse,Medium
363,1705,284.64,99.17,2.59,26,29.93,46.05,14.56,7962.93,External,Low
983,2202,158.18,87.75,1.91,15,30.42,230.73,21.86,5473.9,InHouse,Medium
538,2173,287.78,66.5,2.1,13,29.65,176.75,35.12,6497.67,External,Low
